as_of,system,location,employees,inmates,inmate_deaths
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,75,178,14
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,4,25,0
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,16,0,0
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,55,96,1
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,2,0,0
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,2,0,0
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,93,41,8
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,77,72,2
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,35,74,0
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,59,46,1
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,29,172,0
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,48,44,4
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,142,18,8
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,17,96,4
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,71,89,0
2020-05-22T23:12:37Z,PRISONS AND ANCILLARY LOCATIONS,Totals,725,951,42
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,7,1
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,0,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,0,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,1,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,2,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,3,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,4,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,1,0
2020-05-22T23:12:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,19,1
